id,user_id,image_id,label_id,top,left,bottom,right,time_effort,token,creation_date,is_validated,is_correct
1188,A3NTNVS05946M0,294,12,208,799,586,1192,6,3Y2LFZ6A2H3UHTBAX61V,1/1/2020 22:22:05.607,1,0
618,A3BIRWA8ZHZQSL,43,7,147,985,551,1665,19,U5QDFG7053UD7PXQ7806,1/1/2020 21:03:43.197,1,1
363,A2G44A4ZPWRPXU,406,1,217,375,505,802,7,P7N7D64IT8JJ3MJKMJBG,1/1/2020 20:54:51.507,1,0
30,A28L1K6D8QUCML,360,4,201,471,521,1119,12,6273I465WAUV4DI8D73J,1/1/2020 20:44:56.848,1,
67,A1Q4N7ZTNI9IKX,21,6,116,978,536,1488,12,AYKYM74UP04Z3OWE1WLN,1/1/2020 20:46:18.697,0,1
285,A102UBN1SZ3L6R,23,13,220,348,491,829,27,6HJ0K1DRK1M7ET2MA0HD,1/1/2020 20:51:53.725,1,1
153,A34SSYH8B12WDJ,235,19,132,1,547,1629,14,F3USX63QS7AL19V82Z2O,1/1/2020 20:48:33.862,1,
213,AJTHGXBMZJ3HE,230,19,147,545,517,1350,13,UDMODV1Q6XJ4BHNJLMLX,1/1/2020 20:49:59.365,1,
293,AP37QQ9AABSY9,207,18,483,1282,190,912,4,3559E2KNMHP6M6KT4QEF,1/1/2020 20:52:07.191,1,
362,A2DWSKGD9RNKMJ,253,22,198,1104,516,1583,17,QEAAP0WD5KP37LM6F9BF,1/1/2020 20:54:51.397,1,
422,AQ6SWL9GKRG91,173,19,144,1076,578,1666,11,B63296LTQ5HFYZ67WBAF,1/1/2020 20:57:09.36,1,
569,A36OKC4VMBL6TJ,96,1,276,1317,481,1424,51,YAHD4BF2F8TNA574GI9N,1/1/2020 21:02:04.655,1,
848,A37DGETOQU91UT,262,26,200,355,494,816,11,J6OEH15TKTJJWM5MFCEQ,1/1/2020 21:20:57.435,1,
921,A3INZD37NFEPK6,63,26,161,1664,504,1875,11,8UX232U0N6YWSVO7B3PB,1/1/2020 21:28:18.681,1,
993,A6R72YPKEF200,16,8,291,509,420,689,17,NLR7FFV84LXHFGPAZEUD,1/1/2020 21:35:30.107,1,
31,A28L1K6D8QUCML,360,17,195,1263,521,1615,16,6273I465WAUV4DI8D73J,1/1/2020 20:44:56.848,1,
32,ACY3ZOOZMVS7Y,352,6,232,737,483,1143,14,I7JIII3JQ6C9LZYIR7S7,1/1/2020 20:45:01.54,1,
8,A3JC5R5HMP1XSA,184,17,215,655,528,1509,13,BLC6HGBSZD19OW24AAXC,1/1/2020 20:42:55.872,1,
9,A3G1X3IP2VM4IK,472,15,278,680,446,1018,17,NRRTGLEI2EG2A4VZ2FSE,1/1/2020 20:43:01.765,1,
10,A610SH5RY1NG1,7,6,72,617,483,293,16,L6233GP4K50SVEMBB7HI,1/1/2020 20:43:50.25,1,
11,A610SH5RY1NG1,7,21,173,618,503,1189,11,L6233GP4K50SVEMBB7HI,1/1/2020 20:43:50.25,1,
12,A610SH5RY1NG1,7,6,197,1191,500,1787,16,L6233GP4K50SVEMBB7HI,1/1/2020 20:43:50.25,1,
13,A3G1X3IP2VM4IK,23,6,199,591,467,850,13,EKQ0RNJM6BVNE9V4XE63,1/1/2020 20:43:56.176,1,
14,A2YO837C0O1E91,160,6,179,694,568,1957,10,RR6OXXI2EXQRYGNXA084,1/1/2020 20:43:56.789,1,
15,A2BZY06YRWGEDL,352,8,231,738,474,1114,8,N97VFOMMM6IAENMC2Q51,1/1/2020 20:44:04.612,1,
16,A1M6QZ12GMIBTW,395,21,224,382,328,776,8,3BRPQ7MA38UNCT0UGY3E,1/1/2020 20:44:08.758,1,
17,A3JC5R5HMP1XSA,389,23,223,1180,541,1529,27,P99E993NI53TNJPY8G8M,1/1/2020 20:44:12.146,1,
18,AZZHM0B0WDFX4,230,19,254,1349,571,1576,6,XJ0OOTW90FT4Y9FL36OL,1/1/2020 20:44:20.733,1,
19,AZZHM0B0WDFX4,230,19,254,1349,571,1576,11,XJ0OOTW90FT4Y9FL36OL,1/1/2020 20:44:20.733,1,
