lat,lng,labels,image_ids
40.788143393583,-73.97447085615174,"[7, 7, 7, 7]","[43, 42, 43, 42]"
40.786017238221305,-73.97602610976332,"[6, 6, 6, 6]","[21, 21, 21, 21]"
40.79355062339044,-73.97228152859482,"[1, 17, 22, 2, 1, 22, 19]","[96, 99, 90, 90, 96, 90, 90]"
40.78695272412649,-73.97204142539691,"[26, 21, 26]","[262, 262, 262]"
40.80711834119153,-73.9648714339114,"[19, 19]","[230, 230]"
40.79807609471237,-73.96959816992816,"[8, 12, 12, 19, 8, 26, 7, 26]","[199, 199, 200, 200, 196, 199, 199, 199]"
40.785527792339195,-73.9763811942636,"[12]","[14]"
40.79316802434624,-73.97253553262915,"[10]","[88]"
40.78320869792595,-73.97477130822408,"[8, 12, 6]","[293, 293, 293]"
40.783136048346506,-73.97482455377214,"[17, 15]","[293, 293]"
40.78541650408575,-73.97316102989038,"[19, 19, 6, 16]","[272, 272, 272, 271]"
40.79970149587035,-73.96852905011889,"[6, 6, 6]","[173, 173, 173]"
40.79104624189105,-73.97411384954171,"[6, 7, 7, 6, 8, 7, 8]","[50, 49, 49, 49, 50, 49, 50]"
40.792110588235545,-73.97333384111391,"[3, 19, 2, 7, 19, 26, 21, 26]","[70, 70, 70, 71, 71, 71, 71, 71]"
40.79943178075535,-73.96867035141233,"[13, 6]","[175, 177]"
40.80451185576543,-73.96676587921755,"[5, 13]","[252, 252]"
40.795526438699085,-73.97083507150886,"[15, 19, 3, 26, 26]","[133, 134, 133, 134, 133]"
40.78622097614864,-73.97257321643968,"[10, 10, 10]","[266, 266, 266]"
40.78483485568826,-73.97688954351003,"[17, 17]","[10, 10]"
40.786084569343274,-73.97597675581493,"[6, 17, 8, 17]","[21, 21, 21, 21]"
40.78465940128901,-73.9770179671496,"[17]","[10]"
40.80572786532666,-73.96587646859257,"[8, 6, 8]","[242, 242, 242]"
40.79481981487997,-73.97091231370091,"[13, 7, 16, 7, 8, 6, 7]","[122, 122, 122, 122, 122, 122, 122]"
40.78714084421364,-73.9719043125871,"[7, 8]","[260, 260]"
40.78804433294841,-73.97440223597665,"[6, 6, 7]","[42, 42, 42]"
40.80567356942754,-73.96591599257991,"[13, 9]","[242, 242]"
40.79096445964357,-73.97417331205082,"[19, 19, 19, 8, 19, 19, 19, 19, 14]","[48, 48, 48, 48, 49, 49, 49, 49, 48]"
40.78707613573758,-73.97525102957883,"[6]","[28]"
40.781059874345026,-73.97634175355184,"[1, 19, 6]","[313, 313, 313]"
40.79748548677761,-73.9700242255928,"[18, 18, 18, 18, 18]","[207, 207, 207, 208, 208]"
40.7974287785578,-73.97006622588087,"[6, 13, 13, 6]","[207, 208, 207, 207]"
40.80131967835155,-73.96742698025139,"[20, 20]","[223, 221]"
40.80098092089251,-73.96763813549695,"[6]","[223]"
40.784913899833676,-73.97683171612508,"[6]","[10]"
40.79170727457061,-73.97362878296374,"[17, 26, 23, 17, 17, 26]","[61, 63, 61, 61, 61, 63]"
40.79875013130543,-73.96911330958092,"[23]","[188]"
40.78568720753391,-73.97610302668696,"[21]","[14]"
40.78541742929169,-73.97646172097214,"[17]","[14]"
40.78548465814444,-73.97311113988687,"[19, 14, 10]","[271, 271, 272]"
40.799999216697906,-73.96784495214237,"[8, 6, 13, 13, 13, 10, 13, 13]","[213, 212, 212, 213, 212, 213, 214, 212]"
40.79873461792357,-73.96849956523721,"[4, 2]","[167, 167]"
40.782537928733504,-73.97526525105212,"[7, 8, 7, 7]","[296, 296, 296, 296]"
40.782501448673955,-73.97529176289785,"[22, 9]","[296, 296]"
40.782578125136396,-73.97523603835766,"[22]","[296]"
40.79936331249873,-73.9687062277682,"[6, 8, 6, 2, 6, 6, 6]","[177, 177, 177, 178, 178, 178, 177]"
40.78553392368057,-73.97618752397618,"[21]","[19]"
40.79975106731257,-73.96789890554783,"[16, 16, 9]","[210, 210, 210]"
40.79982645710378,-73.96790102537742,"[5, 19]","[210, 210]"
40.78408705690059,-73.97741957085593,"[6]","[7]"
40.798148978412556,-73.96892729524019,"[20, 20, 20, 20, 20, 20]","[158, 158, 158, 157, 157, 157]"
40.79824423910714,-73.96885848378064,"[23, 6, 6, 6, 6, 6, 17]","[158, 160, 158, 157, 160, 157, 163]"
40.785472257769335,-73.97642171521895,"[22, 22]","[14, 14]"
40.78095764752349,-73.9764123547306,"[6]","[313]"
40.78112688535957,-73.97629297609876,"[16]","[313]"
40.804558861149765,-73.96673119098485,"[6, 13, 6]","[252, 252, 252]"
40.79493641252341,-73.97083034092276,"[8, 8]","[123, 123]"
40.78686340806772,-73.97210659192251,"[8]","[263]"
40.78662677636498,-73.97558221134854,"[8, 6, 6]","[23, 23, 23]"
40.800664094378675,-73.96769153953451,"[15, 7]","[220, 220]"
40.78399445811882,-73.97750051113258,"[21, 21]","[7, 7]"
40.78392229258541,-73.97755339612286,"[6, 6, 6, 6, 7]","[7, 7, 7, 6, 6]"
40.784059142797936,-73.97745317278768,"[6, 6]","[7, 7]"
40.79112670974859,-73.97405011502364,"[6, 26]","[50, 49]"
40.78672570034445,-73.97550993118088,"[6, 13, 6, 19, 9]","[24, 23, 23, 23, 23]"
40.79865316623305,-73.96918387792479,"[21, 26]","[188, 188]"
40.80021948790588,-73.96777357300118,"[2, 2, 15, 2, 15]","[214, 214, 216, 216, 214]"
40.79311172723807,-73.97260063800297,"[8, 8, 8, 8]","[85, 85, 85, 85]"
40.7847643100216,-73.97694115354898,"[13, 13, 6]","[10, 10, 10]"
40.78820895176233,-73.97442300252965,"[11, 3]","[43, 43]"
40.78366813271919,-73.97773477399167,"[6]","[4]"
40.806382739263846,-73.96579183693261,"[19]","[239]"
40.783405068257494,-73.97463841640648,"[22, 22, 22]","[290, 290, 290]"
40.787305364858604,-73.97178533596954,"[6]","[260]"
40.79835697315314,-73.96939950912024,"[20, 6, 22, 26, 10, 26, 10, 26]","[195, 194, 195, 193, 194, 195, 194, 193]"
40.79826063091089,-73.96952481890074,"[15, 15, 26]","[195, 195, 195]"
40.79822635732268,-73.96948788096519,"[20, 11, 26]","[196, 196, 195]"
40.791779724071105,-73.97357669645905,"[22, 23, 20, 23, 26, 26, 26, 26, 26, 26]","[66, 62, 63, 62, 62, 63, 63, 63, 63, 63]"
40.78375625302993,-73.97436018706186,"[12, 17, 12, 12]","[288, 289, 289, 288]"
40.783856204509824,-73.97429171321205,"[22]","[288]"
40.783811076747575,-73.97432476235912,"[4, 26]","[288, 288]"
40.80525241278326,-73.96622561445395,"[6]","[248]"
40.793704878673736,-73.9721695141177,"[13, 13, 13]","[100, 100, 100]"
40.78587958108225,-73.97612703237935,"[8, 6, 21]","[20, 20, 20]"
40.785806308544785,-73.97618074006648,"[7, 6, 6]","[20, 20, 20]"
40.78796333671089,-73.97460211666098,"[6, 7]","[41, 41]"
40.79298275544007,-73.97263344727972,"[23, 16]","[84, 84]"
40.78185071621289,-73.97576252622089,"[23, 22]","[304, 304]"
40.78702692903405,-73.97528700404682,"[11]","[28]"
40.80053657460804,-73.96771195940495,"[10]","[220]"
40.800611636432805,-73.96769994489962,"[14]","[220]"
40.79787328506801,-73.97016082592066,"[9, 23, 26]","[203, 203, 203]"
40.806694559757446,-73.96517111466119,"[19, 19, 13, 19]","[235, 235, 234, 235]"
40.785292869400195,-73.97655892047598,"[22, 22, 22, 22]","[13, 13, 13, 13]"
40.785177387980795,-73.9766431458997,"[22, 22, 22, 22, 22]","[13, 13, 13, 13, 13]"
40.79086991066342,-73.97424205703847,"[23, 26, 7, 20]","[48, 49, 49, 48]"
40.79289565290573,-73.97275979263792,"[6, 6, 21]","[84, 84, 84]"
40.798153049538406,-73.96954236295342,"[6, 6]","[196, 196]"
40.79739046208658,-73.96948013677803,"[4, 4, 4, 4, 4, 4]","[146, 147, 146, 146, 147, 147]"
40.79745201672476,-73.96943472676404,"[19, 19, 21, 13, 20, 26, 26]","[146, 147, 147, 146, 146, 147, 147]"
