id,user_id,image_id,label_id,top,left,bottom,right,time_effort,token,creation_date,is_validated,is_correct,est_lat,est_lng
1188,A3NTNVS05946M0,294,12,208,799,586,1192,6,3Y2LFZ6A2H3UHTBAX61V,1/1/2020 22:22:05.607,1,0,40.78278703653053,-73.9750799726126
618,A3BIRWA8ZHZQSL,43,7,147,985,551,1665,19,U5QDFG7053UD7PXQ7806,1/1/2020 21:03:43.197,1,1,40.788141230294414,-73.97447243522541
67,A1Q4N7ZTNI9IKX,21,6,116,978,536,1488,12,AYKYM74UP04Z3OWE1WLN,1/1/2020 20:46:18.697,0,1,40.786017493909874,-73.97602592245175
285,A102UBN1SZ3L6R,23,13,220,348,491,829,27,6HJ0K1DRK1M7ET2MA0HD,1/1/2020 20:51:53.725,1,1,40.78673154550937,-73.97550565313259
153,A34SSYH8B12WDJ,235,19,132,1,547,1629,14,F3USX63QS7AL19V82Z2O,1/1/2020 20:48:33.862,1,,40.80668282114033,-73.96517974996573
213,AJTHGXBMZJ3HE,230,19,147,545,517,1350,13,UDMODV1Q6XJ4BHNJLMLX,1/1/2020 20:49:59.365,1,,40.80705710521088,-73.96491727489129
293,AP37QQ9AABSY9,207,18,483,1282,190,912,4,3559E2KNMHP6M6KT4QEF,1/1/2020 20:52:07.191,1,,40.797484552462144,-73.97002491831182
362,A2DWSKGD9RNKMJ,253,22,198,1104,516,1583,17,QEAAP0WD5KP37LM6F9BF,1/1/2020 20:54:51.397,1,,40.7880005208944,-73.97127643779376
422,AQ6SWL9GKRG91,173,19,144,1076,578,1666,11,B63296LTQ5HFYZ67WBAF,1/1/2020 20:57:09.36,1,,40.79976004850217,-73.96849838759134
569,A36OKC4VMBL6TJ,96,1,276,1317,481,1424,51,YAHD4BF2F8TNA574GI9N,1/1/2020 21:02:04.655,1,,40.79354747607415,-73.97228381137857
848,A37DGETOQU91UT,262,26,200,355,494,816,11,J6OEH15TKTJJWM5MFCEQ,1/1/2020 21:20:57.435,1,,40.78694997703573,-73.97204342763568
921,A3INZD37NFEPK6,63,26,161,1664,504,1875,11,8UX232U0N6YWSVO7B3PB,1/1/2020 21:28:18.681,1,,40.79170973416052,-73.97362701545154
993,A6R72YPKEF200,16,8,291,509,420,689,17,NLR7FFV84LXHFGPAZEUD,1/1/2020 21:35:30.107,1,,40.78575079885308,-73.97622136425385
8,A3JC5R5HMP1XSA,184,17,215,655,528,1509,13,BLC6HGBSZD19OW24AAXC,1/1/2020 20:42:55.872,1,,40.79881966845657,-73.96906270247598
10,A610SH5RY1NG1,7,6,72,617,483,293,16,L6233GP4K50SVEMBB7HI,1/1/2020 20:43:50.25,1,,40.78406013468079,-73.97745244682079
11,A610SH5RY1NG1,7,21,173,618,503,1189,11,L6233GP4K50SVEMBB7HI,1/1/2020 20:43:50.25,1,,40.783994362568706,-73.9775005810473
12,A610SH5RY1NG1,7,6,197,1191,500,1787,16,L6233GP4K50SVEMBB7HI,1/1/2020 20:43:50.25,1,,40.7839157027944,-73.97755823156018
13,A3G1X3IP2VM4IK,23,6,199,591,467,850,13,EKQ0RNJM6BVNE9V4XE63,1/1/2020 20:43:56.176,1,,40.78670919739928,-73.97552200960762
14,A2YO837C0O1E91,160,6,179,694,568,1957,10,RR6OXXI2EXQRYGNXA084,1/1/2020 20:43:56.789,1,,40.79820453416612,-73.96888716460178
18,AZZHM0B0WDFX4,230,19,254,1349,571,1576,6,XJ0OOTW90FT4Y9FL36OL,1/1/2020 20:44:20.733,1,,40.80711834119153,-73.9648714339114
19,AZZHM0B0WDFX4,230,19,254,1349,571,1576,11,XJ0OOTW90FT4Y9FL36OL,1/1/2020 20:44:20.733,1,,40.80711834119153,-73.9648714339114
20,A1ZZINLCZZYOH4,199,8,252,1367,500,1532,22,CMYSI479O17NIS7GF6PN,1/1/2020 20:44:30.802,1,,40.79807916264767,-73.96959416031002
23,A3696JXTRKL2FI,14,6,165,354,443,483,9,NP5YY7AF24DB0A09N44X,1/1/2020 20:44:42.049,1,,40.78557632983743,-73.97634575867829
24,A3696JXTRKL2FI,14,12,194,565,477,777,3,NP5YY7AF24DB0A09N44X,1/1/2020 20:44:42.049,1,,40.785527792339195,-73.9763811942636
